association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,kleigen,1,-0.0255709,-0.016422987,-0.008671285,0.04537240889831745
feminine,kleigen,2,0.02577871,0.0035815835,0.0064286464,0.042157082276580195
feminine,kleigen,3,0.074177146,0.021319687,0.014626884,0.06304828609721494
feminine,kleigen,4,0.06224537,0.029416054,0.026821755,0.05932197438213992
feminine,kleigen,5,0.061798632,0.049962997,0.04110899,0.06745621580752868
feminine,kleigen,6,0.042225957,0.053840578,0.03829379,0.04785875587501926
feminine,kleigen,7,0.041870475,0.05079341,0.032641426,0.04207940802015151
feminine,kleigen,8,0.03063476,0.03299123,0.021042872,0.03972729688338838
feminine,kleigen,9,0.044038236,0.025995612,0.017610926,0.05298361555945658
feminine,kleigen,10,0.015458167,0.0257501,0.009352214,0.0513627839104615
feminine,kleigen,11,-0.011205554,0.0141682625,0.002847379,0.030609159384017235
feminine,versuitegen,0,0.0194183,0.053086683,0.020293703,0.055466432842023294
feminine,versuitegen,1,-0.02653113,0.04925114,0.010043407,0.06039300139428659
feminine,versuitegen,2,-0.000872761,0.028064549,0.009710644,0.06231809198348035
feminine,versuitegen,3,0.03717521,0.02643758,0.008259466,0.0784034327173434
feminine,versuitegen,4,0.017468214,0.0008725822,0.008229249,0.07232589077439706
feminine,versuitegen,5,-0.010537386,0.020052493,0.011967066,0.08799679754113514
feminine,versuitegen,6,-0.010564923,0.020809412,0.00996896,0.06463842775466173
feminine,versuitegen,7,-0.004008472,0.023344576,0.014220994,0.05684636829788522
feminine,versuitegen,8,0.0047243237,0.007323444,0.0070224334,0.05432861150186932
feminine,versuitegen,9,0.025007367,0.012074411,0.009403826,0.05534848049146964
feminine,versuitegen,10,0.0047532916,0.017799556,0.004560367,0.050542232235351446
feminine,versuitegen,11,-0.010936379,0.0064692497,0.0023065684,0.0282582999651567
feminine,kootplacht,0,0.004954502,-0.011852309,-0.00798621,0.08891970267027818
feminine,kootplacht,1,0.0032132566,-9.402633e-05,0.00628185,0.05517922660738313
feminine,kootplacht,2,0.034847617,0.0063323975,0.016571326,0.04012011111330702
feminine,kootplacht,3,0.04652679,0.015153408,0.011459629,0.04824041969519794
feminine,kootplacht,4,0.051927358,0.009287536,0.01648261,0.04863479487656964
feminine,kootplacht,5,0.051997125,0.041265488,0.034621574,0.05961471020969554
feminine,kootplacht,6,0.039074957,0.03586781,0.031141585,0.04485965908858119
feminine,kootplacht,7,0.037795007,0.03292215,0.02871527,0.042776505423395346
feminine,kootplacht,8,0.038851142,0.016884148,0.015660902,0.04407091866253699
feminine,kootplacht,9,0.054255664,0.019875944,0.014552715,0.05206135370476899
feminine,kootplacht,10,0.014152765,0.013251424,0.0011917098,0.04109522781053684
feminine,kootplacht,11,-0.007491708,0.008117974,0.0014263628,0.026078924458096453
feminine,surks,0,-0.025368527,-0.032767072,-0.007280231,0.034821840441454796
feminine,surks,1,-0.05064401,-0.037900537,-0.004838595,0.045741851509775756
feminine,surks,2,-0.0001308918,-0.022203714,0.011414117,0.0484816561442776
feminine,surks,3,0.030925512,-0.009166241,0.0055735502,0.0420573444311994
feminine,surks,4,0.03805709,-0.021797568,0.012052983,0.035664355304493744
feminine,surks,5,0.040688276,0.008190274,0.025634473,0.030004172941397584
feminine,surks,6,0.021834254,0.024091661,0.02594948,0.029122665133893062
feminine,surks,7,0.012533426,0.029591084,0.018175812,0.03140804625173633
feminine,surks,8,0.003994882,0.021623671,0.010291794,0.03135235422944625
feminine,surks,9,0.027196527,0.016562462,0.006370991,0.030497101589850008
feminine,surks,10,0.006116152,0.01859814,-0.0021784762,0.026085171024490043
feminine,surks,11,-0.0051403046,0.010179579,-0.0008656917,0.015101362185468193
feminine,strembalen,0,0.033134118,0.0024417639,0.0142496005,0.06375987942311968
feminine,strembalen,1,-0.0039946884,0.0018699169,0.012092213,0.048008379595319346
feminine,strembalen,2,0.022465825,0.041257977,0.03157398,0.05205169948891592
feminine,strembalen,3,0.05099672,0.028427005,0.022354428,0.054892706318630774
feminine,strembalen,4,0.0369561,0.023232132,0.023454096,0.06499425630570341
feminine,strembalen,5,0.049402982,0.049004912,0.03662459,0.07405804501989226
feminine,strembalen,6,0.020724177,0.03645557,0.03345055,0.059421035682183314
feminine,strembalen,7,0.011112571,0.047423363,0.028930293,0.056845774405598085
feminine,strembalen,8,0.0008344054,0.035413086,0.015751267,0.05854828381847685
feminine,strembalen,9,0.015231013,0.037133217,0.013221019,0.06491111106099143
feminine,strembalen,10,-0.015264928,0.03179556,0.0012568119,0.062342770068036894
feminine,strembalen,11,-0.021471202,0.019094229,-0.0013797035,0.03607330867660311
feminine,nahoe,0,0.031054616,-0.026403666,0.012948115,0.04830356643087831
feminine,nahoe,1,-0.013240933,-0.038449645,0.003875481,0.05549940635523682
feminine,nahoe,2,0.029896706,-0.024653703,0.018457005,0.05182021580699593
feminine,nahoe,3,0.06981671,-0.0124206245,0.022741294,0.0485860330542695
feminine,nahoe,4,0.05364862,-0.03143376,0.0093325535,0.05394831999144116
feminine,nahoe,5,0.062369287,0.006273985,0.03044066,0.03310879462760945
feminine,nahoe,6,0.040564418,0.009140074,0.030622058,0.03303933592230141
feminine,nahoe,7,0.03454888,0.02089125,0.02564309,0.029282559433813922
feminine,nahoe,8,0.029194355,0.009738624,0.017004149,0.026617311977300308
feminine,nahoe,9,0.05424863,0.010794342,0.018758345,0.03011500041871288
feminine,nahoe,10,0.018751442,0.009150207,0.0073995716,0.02842370328526502
feminine,nahoe,11,0.00032287836,0.0043967366,0.004380562,0.018722915023748052
feminine,vernarterlijk,0,-0.0017317235,-0.0218447,-0.008538749,0.06253175748207364
feminine,vernarterlijk,1,-0.025530845,-0.027594492,-0.016715536,0.06269818786611135
feminine,vernarterlijk,2,-0.008150727,0.0004695654,0.0019027854,0.051515782570648566
feminine,vernarterlijk,3,-0.0073106885,0.0057234466,-0.00014780473,0.05655619272280691
feminine,vernarterlijk,4,-0.0021330118,0.010320455,0.021236042,0.04633692528349227
feminine,vernarterlijk,5,0.007979274,0.015813768,0.029153358,0.04719423082249085
feminine,vernarterlijk,6,0.006328881,0.033835113,0.02822576,0.03259937883800309
feminine,vernarterlijk,7,0.0013635159,0.039652288,0.027424973,0.029202938480812277
feminine,vernarterlijk,8,-0.0023243427,0.030666173,0.017121723,0.03772206901017362
feminine,vernarterlijk,9,0.009962916,0.034697354,0.01629696,0.04177740386621502
feminine,vernarterlijk,10,-0.0176363,0.030058563,0.0035353017,0.041410131261314424
feminine,vernarterlijk,11,-0.028536499,0.016468048,-0.00042445253,0.026465505287305836
feminine,aanropig,0,-0.0024871826,-0.01207599,0.00588411,0.0825340213129794
feminine,aanropig,1,-0.04564795,-0.006888747,-0.004462844,0.06351757192032498
feminine,aanropig,2,0.00547117,0.02780801,0.012090685,0.04550997724828086
feminine,aanropig,3,0.056762815,0.03589055,0.01817704,0.0461710836775173
feminine,aanropig,4,0.04368016,0.024038881,0.01938337,0.046635542629399306
feminine,aanropig,5,0.03832966,0.05886674,0.03635121,0.04381484958117484
feminine,aanropig,6,0.03262663,0.057504773,0.033958815,0.04284242190428337
feminine,aanropig,7,0.026758969,0.04855901,0.02723455,0.03934172876764324
feminine,aanropig,8,0.014473796,0.035399973,0.014688319,0.0430501145841766
feminine,aanropig,9,0.027353942,0.032129347,0.014511856,0.05515254637060035
feminine,aanropig,10,-0.0027008653,0.024132192,0.006857704,0.055384689845019076
feminine,aanropig,11,-0.011406839,0.013405681,0.005192,0.03737494689132671
feminine,detelpruttiren,0,0.0152371675,-0.0017300844,0.002969953,0.08755189472195568
feminine,detelpruttiren,1,0.01435709,0.032438368,0.019704696,0.06643468584576238
feminine,detelpruttiren,2,0.026129603,0.036763787,0.023784565,0.0580850653528387
feminine,detelpruttiren,3,0.034609795,0.044670045,0.018245712,0.06391207870120345
feminine,detelpruttiren,4,0.02281642,0.02321598,0.007249074,0.0672180053855021
feminine,detelpruttiren,5,0.024014533,0.0479514,0.022655545,0.07640669159478823
feminine,detelpruttiren,6,0.021099508,0.03959489,0.021112632,0.06561520949061053
feminine,detelpruttiren,7,0.0107370615,0.042113543,0.019953968,0.05992046615033585
feminine,detelpruttiren,8,0.02039367,0.02636379,0.012346334,0.057217262687421194
feminine,detelpruttiren,9,0.031037211,0.023877084,0.009229703,0.06798256837754155
feminine,detelpruttiren,10,-0.0055601597,0.01780796,-0.0029269883,0.057161399371320226
feminine,detelpruttiren,11,-0.018788457,0.010296941,-0.0011932252,0.03397423268115103
feminine,moeter,0,-0.021370396,-0.0029684901,0.0077906717,0.05420158140514325
feminine,moeter,1,-0.019482017,-0.00928247,0.0010124603,0.05431016100795349
feminine,moeter,2,0.025207639,0.012226582,0.010378199,0.049615932391663814
feminine,moeter,3,0.06424984,0.025951684,0.01914845,0.04245191058114419
feminine,moeter,4,0.025417924,0.0054567456,0.010153147,0.051017228984152875
feminine,moeter,5,0.03434193,0.035641313,0.028683996,0.05192176250462222
feminine,moeter,6,0.017967522,0.0262627,0.026472155,0.04331991579245637
feminine,moeter,7,0.01520896,0.025891185,0.021467907,0.035973311221944915
feminine,moeter,8,0.020173728,0.014080286,0.015016884,0.030824756557255195
feminine,moeter,9,0.037459552,0.018838584,0.014821512,0.04128867750295116
feminine,moeter,10,0.0069156885,0.016442835,0.0043966514,0.03766131739680586
feminine,moeter,11,-0.0094380975,0.007890224,-0.00041245652,0.026089841023767827
feminine,glader,0,-0.020367548,0.007778868,0.003531213,0.05164556432423183
feminine,glader,1,-0.045220643,-0.01117906,-0.0026639511,0.04715366284792221
feminine,glader,2,0.009082586,0.016271412,0.021245861,0.04149950649277914
feminine,glader,3,0.024367422,0.0053492785,0.012026563,0.04244575644307807
feminine,glader,4,0.0065161884,-0.016718328,0.0077674123,0.06029547906388136
feminine,glader,5,0.00060886145,0.021273732,0.022454973,0.08073476193890687
feminine,glader,6,-0.0125796795,0.015819311,0.018459784,0.07000049933613063
feminine,glader,7,-0.01226145,0.018966079,0.015871715,0.061701333857114155
feminine,glader,8,-0.008124888,0.010917246,0.010293839,0.04979446483865409
feminine,glader,9,0.022523403,0.0084530115,0.009482435,0.04469121406533192
feminine,glader,10,-0.008053482,0.006394744,-0.0034944338,0.038928381332499915
feminine,glader,11,-0.009749174,0.0036965609,-0.0002776649,0.022988633033212868
feminine,omslering,0,0.01667139,-0.0027988553,0.009552806,0.08180382116585995
feminine,omslering,1,-0.006016761,0.009010822,0.013055482,0.06788015648142214
feminine,omslering,2,0.034293532,0.017721653,0.027246617,0.04118697669882743
feminine,omslering,3,0.041729063,0.02293539,0.021607196,0.058153803540626756
feminine,omslering,4,0.024152696,0.019324332,0.023355708,0.06575974088413036
feminine,omslering,5,0.020454168,0.048239887,0.043991596,0.07610273279790679
feminine,omslering,6,0.011398613,0.03416413,0.037837826,0.05988785074604949
feminine,omslering,7,0.010723472,0.034856975,0.029405518,0.05096107974917828
feminine,omslering,8,0.017967403,0.027260125,0.020368462,0.04801503789768106
feminine,omslering,9,0.0320279,0.024973154,0.018724998,0.055541759532399274
feminine,omslering,10,-0.0016263723,0.021196902,0.007390993,0.05167877712586842
feminine,omslering,11,-0.010230482,0.011944175,0.0044129277,0.033049649467066566
feminine,vrijkontij,0,-0.04540752,0.0027794242,-0.0011877385,0.07577164972589374
feminine,vrijkontij,1,-0.039415464,-0.0007787943,0.007883466,0.05956536217742053
feminine,vrijkontij,2,0.014001191,0.014360964,0.021488484,0.0561611127226021
feminine,vrijkontij,3,0.015758395,0.028713346,0.014110124,0.06828961559547797
feminine,vrijkontij,4,-0.019358635,-0.006532252,0.015867298,0.07781955195360614
feminine,vrijkontij,5,-0.02975893,0.012612104,0.020281028,0.09150841212298057
feminine,vrijkontij,6,-0.009549141,0.006240368,0.023008713,0.0802369403707573
feminine,vrijkontij,7,-0.010305762,0.016219616,0.025599541,0.07247627011254856
feminine,vrijkontij,8,-0.0076119304,0.01044029,0.015324724,0.06938143365793754
feminine,vrijkontij,9,0.005084634,0.015656292,0.012307242,0.06864858823247207
feminine,vrijkontij,10,-0.02077061,0.018603504,0.002910997,0.05952913979860336
feminine,vrijkontij,11,-0.0248093,0.008841813,0.0006419394,0.031239709985367806
feminine,memies,0,0.009661049,0.048452586,0.031560224,0.06673544392905292
feminine,memies,1,0.0031071603,0.026605338,0.03170685,0.04640363585529819
