association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,hessel,2-3,-0.008071154,-0.036200374,-0.02854743,0.050807134743576385
feminine,hessel,2-5,-0.015234098,-0.014290035,-0.023507498,0.09218879997823924
feminine,hikmet,0,-0.013869584,-0.075276926,-0.054010347,0.07228221896103873
feminine,hikmet,2,-0.04136437,-0.04789695,-0.036747523,0.056608363533407396
feminine,hikmet,2-3,-0.054813966,-0.05212681,-0.027024074,0.039822805617191176
feminine,hikmet,2-5,-0.046754137,-0.06797382,-0.055004433,0.054270993211593704
feminine,hiske,0,-0.011713535,0.05417058,0.025759177,0.09556795812454245
feminine,hiske,2,-0.010304302,0.025099277,0.018176727,0.05846104097044935
feminine,hiske,2-3,0.025805295,0.009572893,0.018256126,0.052672113203173776
feminine,hiske,2-5,0.0156240165,0.0004272759,0.018017972,0.09257889980684053
feminine,huib,0,0.010258704,-0.015153825,-0.033589035,0.0700843639903018
feminine,huib,2,-0.0021961927,-0.016979069,-0.029135456,0.06328418262774188
feminine,huib,2-3,-0.049777567,-0.029459178,-0.037432488,0.05975619612597497
feminine,huib,2-5,-0.013984084,-0.039971083,-0.045114946,0.06618374826093189
feminine,hussain,0,0.029609218,-0.03128156,-0.026822014,0.07614827096012307
feminine,hussain,2,-0.011222988,-0.030208617,-0.0065205824,0.06550088965288607
feminine,hussain,2-3,0.008808941,-0.037368894,-0.0137506705,0.051202516809145227
feminine,hussain,2-5,0.00042125583,-0.020999461,-0.016161598,0.06166074960959016
feminine,ibtissam,0,0.022504091,0.04727912,0.031476878,0.0876411526686721
feminine,ibtissam,2,-0.04110697,-0.009499013,-0.00999052,0.0864590510756027
feminine,ibtissam,2-3,0.017344683,-0.004727572,0.019722393,0.05566817820542196
feminine,ibtissam,2-5,0.0034561455,-0.015006214,0.0040715043,0.041888581867204025
feminine,ichelle,0,0.031041324,0.033848733,0.0074264514,0.06556633657520491
feminine,ichelle,2,-0.040325493,-0.009281784,-0.019478623,0.06614150891410665
feminine,ichelle,2-3,-0.008265108,-0.028067857,-0.015975231,0.04522552693588791
feminine,ichelle,2-5,0.04480177,0.04671535,0.026637435,0.043945115141955246
feminine,ids,0,-0.0353304,-0.038197756,-0.05144611,0.09439143647184671
feminine,ids,2,-0.018333316,-0.038413197,-0.010786632,0.0489963423371291
feminine,ids,2-3,0.016915977,0.0101032555,0.025320046,0.04923243266229742
feminine,ids,2-5,-0.030301034,-0.059090853,-0.035440084,0.0724109496514433
feminine,ilonka,0,0.038568765,0.058997333,0.039887812,0.12700962130031784
feminine,ilonka,2,0.028616548,0.067337096,0.040481765,0.07425308060958394
feminine,ilonka,2-3,0.025539666,0.062372565,0.038298883,0.06656588972218211
feminine,ilonka,2-5,0.04209724,0.061401695,0.032273717,0.10007265290391366
feminine,ina,0,0.03250803,0.058058202,0.05322187,0.11378525555702021
feminine,ina,2,0.024852186,0.060887754,0.04457032,0.09101046887310729
feminine,ina,2-3,0.026309133,0.08357611,0.05856367,0.08755581450790063
feminine,ina,2-5,0.06365128,0.07276893,0.06882573,0.10133772975103426
feminine,ingmar,0,-0.032302946,-0.038438648,-0.029291855,0.05605795016745673
feminine,ingmar,2,-0.05290845,-0.020594746,-0.02212664,0.06446704208512767
feminine,ingmar,2-3,-0.023138702,-0.02371639,-0.0013624928,0.05322379583486138
feminine,ingmar,2-5,-0.04022768,-0.03691584,-0.034489494,0.049568870860149536
feminine,isabelle,0,0.05557081,0.07688892,0.061738428,0.07690402439614118
feminine,isabelle,2,0.00870508,0.08085391,0.045173094,0.06050308435940731
feminine,isabelle,2-3,0.012327373,0.09187877,0.05522619,0.056450776393391855
feminine,isabelle,2-5,0.078375995,0.11473817,0.06781659,0.07300872469475551
feminine,jaantje,0,0.010796219,-0.0011607409,0.015494236,0.178907234489031
feminine,jaantje,2,-0.0001745522,0.01003319,-0.00083701086,0.14257696882850404
feminine,jaantje,2-3,-0.009824306,0.03944257,-0.0024487996,0.1325288787558607
feminine,jaantje,2-5,0.0018210709,0.030011475,0.0052138553,0.18524445432722575
feminine,jacco,0,0.02839093,-0.032693535,-0.04251952,0.06535495931641026
feminine,jacco,2,-0.0022979677,-0.022192597,-0.037869416,0.05154916932355845
feminine,jacco,2-3,-0.029132277,-0.02786088,-0.052120063,0.05117091503771678
feminine,jacco,2-5,0.0118314475,-0.04670006,-0.0467638,0.06224766845674279
