association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,renfronge,2,-0.006575614,-0.0006483793,-0.018002868,0.05736580660972519
feminine,renfronge,2-3,-0.026925206,0.03385341,-0.013602652,0.03887149934237936
feminine,renfronge,2-5,0.031082422,0.020082831,0.005336292,0.0562000113797452
feminine,disevente,0,0.0,0.0,0.0,0.0
feminine,disevente,2,-0.018395066,0.027475744,-0.013883694,0.08908055440376468
feminine,disevente,2-3,0.02009672,0.070139915,0.018611439,0.05955695174425601
feminine,disevente,2-5,0.030457854,0.05609995,0.016585248,0.056262937769879645
feminine,frissa,0,0.017851204,0.010749131,-0.0066504893,0.06489292644123087
feminine,frissa,2,0.032655805,0.043671906,0.03765236,0.043193800799110595
feminine,frissa,2-3,0.04074797,0.018947542,0.032461714,0.037253715545947766
feminine,frissa,2-5,0.04992807,0.044162333,0.044887796,0.061803643248421504
feminine,bempli,0,0.0,0.0,0.0,0.0
feminine,bempli,2,0.010402888,-0.021608561,-0.0061020586,0.038453129347142574
feminine,bempli,2-3,0.012172669,-0.03237684,0.0041729417,0.0568280653729046
feminine,bempli,2-5,0.005909413,-0.0009973943,-0.00012411427,0.04306540807012704
feminine,poondoord,0,0.0,0.0,0.0,0.0
feminine,poondoord,2,-0.047792196,-0.007578343,-0.042675953,0.05548904746042536
feminine,poondoord,2-3,-0.042064965,0.009643644,-0.012354425,0.0552518771383196
feminine,poondoord,2-5,0.013617694,-0.011241972,-0.013120237,0.07506845350422124
feminine,mazzageldent,0,0.0,0.0,0.0,0.0
feminine,mazzageldent,2,0.015390247,-0.0041675568,-0.033295866,0.07956006657380625
feminine,mazzageldent,2-3,-0.01798883,-0.012088448,-0.031489752,0.06240555772877346
feminine,mazzageldent,2-5,-0.018156558,-0.06353429,-0.04797686,0.09065199195161361
feminine,klautivertnet,0,0.0,0.0,0.0,0.0
feminine,klautivertnet,2,-0.052558362,0.054620564,-0.01234983,0.08435780650258262
feminine,klautivertnet,2-3,-0.011664271,0.06787455,0.019661672,0.06255004786330236
feminine,klautivertnet,2-5,-0.002218902,0.028970122,-0.014093144,0.051495951275793705
feminine,boodeman,0,0.0,0.0,0.0,0.0
feminine,boodeman,2,-0.0015196204,-0.022037745,-0.0272418,0.06943983366514364
feminine,boodeman,2-3,-0.004008293,-0.013906717,-0.017902702,0.05688537138915156
feminine,boodeman,2-5,-0.0033026636,-0.015237451,-0.016031865,0.10063003758443521
feminine,sminweje,0,0.0,0.0,0.0,0.0
feminine,sminweje,2,0.034002572,0.024494141,0.026990505,0.05662184642398062
feminine,sminweje,2-3,0.0013154745,0.013591021,0.017720811,0.06055946757511626
feminine,sminweje,2-5,-0.015471846,0.03822723,0.0021594183,0.10917114094702658
feminine,mucheera,0,0.0,0.0,0.0,0.0
