association,word,model,delta_all_names,delta_survey_poles,delta_bootstrapped,sd_bootstrapped
feminine,ashwien,9,0.034684777,0.0233078,0.016279109,0.0640032667408047
feminine,ashwien,10,0.011221588,0.021085083,0.00626703,0.05545395801656943
feminine,ashwien,11,-0.008208454,0.0151792765,0.0030485708,0.0359283490684414
feminine,ayleen,0,-0.018982172,-0.0010861456,0.0012208819,0.04034752046100769
feminine,ayleen,1,-0.021811277,-0.022196889,-0.0013063424,0.03429119449748512
feminine,ayleen,2,-0.01571703,-0.003643632,0.013826473,0.04818325255605246
feminine,ayleen,3,0.0062965155,-0.01476115,0.0093901465,0.0476019905122115
feminine,ayleen,4,0.0063848794,-0.014680266,0.008577602,0.05408914015444509
feminine,ayleen,5,0.01809609,0.03064537,0.02496935,0.048385418013599024
feminine,ayleen,6,-0.0010619164,0.023007393,0.020421002,0.037927590298940085
feminine,ayleen,7,-0.011424363,0.026928961,0.015611479,0.036917890433487824
feminine,ayleen,8,-0.01752454,0.01848191,0.008372454,0.039043083431672766
feminine,ayleen,9,0.0035771132,0.017777681,0.011316219,0.03980726507000416
feminine,ayleen,10,-0.022232354,0.01854229,-0.00035761666,0.04028053563851798
feminine,ayleen,11,-0.021603048,0.012087226,-0.00055358815,0.025466104109283884
feminine,bailey,0,0.0237467,-0.0026579797,0.015374076,0.032897310480771436
feminine,bailey,1,0.003899157,0.0077073276,0.013721356,0.024996192649661155
feminine,bailey,2,0.024047136,0.019517541,0.018162575,0.03516865385636688
feminine,bailey,3,0.07245463,0.028853834,0.018222803,0.03886181869758941
feminine,bailey,4,0.041088253,0.013910592,0.017004045,0.04712378029389522
feminine,bailey,5,0.03253454,0.02514553,0.024997188,0.053777205161761696
feminine,bailey,6,0.027090073,0.030963182,0.026286276,0.0408052729891097
feminine,bailey,7,0.029174447,0.029987574,0.025083227,0.03499977236539606
feminine,bailey,8,0.03155577,0.017517388,0.017548773,0.03308440117607512
feminine,bailey,9,0.055147946,0.017628014,0.019391881,0.03792118389938463
feminine,bailey,10,0.032929838,0.020103574,0.01479389,0.032659877676563365
feminine,bailey,11,0.009338021,0.013399243,0.009195145,0.021788593078852007
feminine,bastiaan,0,-0.063134685,-0.04083541,-0.0053128544,0.06496153426340677
feminine,bastiaan,1,-0.047703505,-0.05269617,-0.011272731,0.034993936107063625
feminine,bastiaan,2,-0.012061954,-0.031729758,0.0023085258,0.03136325964794491
feminine,bastiaan,3,0.036432266,-0.010899603,0.008223873,0.039203689640497565
feminine,bastiaan,4,-0.015102178,0.004275143,-0.009078075,0.033686164088778586
feminine,bastiaan,5,-0.015205562,0.025277138,0.009099747,0.04003847081049578
feminine,bastiaan,6,0.004958749,0.034341395,0.014561694,0.027757483118651848
feminine,bastiaan,7,-0.001652956,0.027996004,0.01343508,0.023361361781522542
feminine,bastiaan,8,-0.0038391352,0.01980859,0.00799466,0.02498264548576129
feminine,bastiaan,9,0.012215316,0.0177868,0.00843859,0.031835507977987454
feminine,bastiaan,10,-0.017587245,0.017411232,4.3466567e-05,0.03761701116639399
feminine,bastiaan,11,-0.024092317,0.01148504,-0.0010967741,0.02482491732724163
feminine,bo,0,-0.003940016,0.022898793,0.006221275,0.056898588130190574
